PLAYER NAME,TEAM,OPP,MATCHUP RATING,START/SIT,PROJ. FPTS,AVG. POINTS ,% GAMES ,OPPORTUNITY ,EFFICIENCY 
Jonathan Taylor,IND,at HOU,5.6,A+,23.6,7.5,82% (14/17),28%,Good
Austin Ekeler,LAC,at CIN,6,A+,20.6,0.6,50% (8/16),26%,Great
Joe Mixon,CIN,vs. LAC,7.2,A+,19,4.1,63% (7/11),28%,Great
Najee Harris,PIT,vs. BAL,7.8,A,18.1,-1,54% (6/11),22%,Average
Leonard Fournette,TB,at ATL,8.2,A,17.4,2.8,50% (7/14),18%,Poor
Elijah Mitchell,SF,at SEA,5.4,A,17.4,3.6,62% (5/8),10%,Great
Cordarrelle Patterson,ATL,vs. TB,3.4,A,16.1,-,-,16%,Great
Alvin Kamara,NO,vs. DAL,7.2,A,15.3,2.1,50% (6/12),20%,Good
Alexander Mattison,MIN,at DET,8.8,A,15.2,0.9,46% (6/13),10%,Awful
James Conner,ARI,at CHI,6,A-,15,4,71% (10/14),16%,Great
James Robinson,JAC,at LAR,3.2,A-,14.3,0.3,46% (6/13),21%,Great
Antonio Gibson,WAS,at LV,8.4,A-,14.2,-1.9,35% (5/14),20%,Poor
Darrell Henderson Jr.,LAR,vs. JAC,7,B+,14.1,-0.2,57% (8/14),20%,Average
Ezekiel Elliott,DAL,at NO,3,B+,13.5,-0.1,46% (7/15),24%,Average
Saquon Barkley,NYG,at MIA,5.4,B+,13.2,-3.6,28% (2/7),8%,Great
David Montgomery,CHI,vs. ARI,5.8,B,12.7,3,66% (8/12),13%,Good
Myles Gaskin,MIA,vs. NYG,6.2,B,12.4,1.1,46% (7/15),15%,Average
Josh Jacobs,LV,vs. WAS,5.2,B,12.2,-0.5,50% (7/14),17%,Good
Miles Sanders,PHI,at NYJ,9.6,B,12.1,-2.3,23% (3/13),10%,Awful
Javonte Williams,DEN,at KC,4.8,B,11.2,0.3,45% (5/11),12%,Awful
Tony Pollard,DAL,at NO,2.8,B-,11.2,1.9,50% (8/16),6%,Awful
Clyde Edwards-Helaire,KC,vs. DEN,6.4,B-,10.8,-2.1,44% (4/9),8%,Great
Melvin Gordon III,DEN,at KC,4.8,B-,10.7,1.2,50% (8/16),15%,Good
Jamaal Williams,DET,vs. MIN,7.2,B-,10.1,-0.6,23% (3/13),9%,Average
Damien Harris,NE,at BUF,8.4,C+,10,-0.7,30% (4/13),18%,Good
Boston Scott,PHI,at NYJ,9.6,C+,9.9,0.4,29% (5/17),16%,Average
Devonta Freeman,BAL,at PIT,4.2,C+,9.8,0.9,46% (6/13),12%,Good
Rhamondre Stevenson,NE,at BUF,7.6,C+,9.7,2.2,37% (3/8),14%,Poor
Devin Singletary,BUF,vs. NE,5.8,C,9.4,-0.2,43% (7/16),8%,Poor
Matt Breida,BUF,vs. NE,6,C,9.3,1.9,40% (4/10),5%,Great
Alex Collins,SEA,vs. SF,4.4,C,9.2,-1.7,18% (2/11),11%,Poor
Tevin Coleman,NYJ,vs. PHI,6.8,C,9.2,-1.6,25% (3/12),3%,Awful
J.D. McKissic,WAS,at LV,8.8,C,9,2.8,50% (8/16),7%,Great
Rex Burkhead,HOU,vs. IND,5,C,8.9,-0.6,10% (1/10),12%,Awful
Ty Johnson,NYJ,vs. PHI,6,C,8.5,1.2,43% (7/16),9%,Average
Darrel Williams,KC,vs. DEN,6.2,C,8.3,1.4,56% (9/16),14%,Poor
Nyheim Hines,IND,at HOU,5.2,C-,7.9,-0.8,29% (5/17),3%,Great
Latavius Murray,BAL,at PIT,5,C-,7.9,-0.7,46% (6/13),9%,Great
David Johnson,HOU,vs. IND,5.8,D+,7.5,0.4,46% (7/15),12%,Awful
Kenyan Drake,LV,vs. WAS,6.4,D+,7.2,-0.6,41% (7/17),7%,Average
Jeff Wilson Jr.,SF,at SEA,6,D+,6.9,1.7,55% (5/9),15%,Awful
DeeJay Dallas,SEA,vs. SF,4,D,6.9,-0.2,38% (5/13),6%,Good
Sony Michel,LAR,vs. JAC,6.8,D,6.8,0,37% (6/16),7%,Poor
Mark Ingram II,NO,vs. DAL,7.6,D,6.5,0,38% (5/13),11%,Good
Mike Davis,ATL,vs. TB,5.6,D-,6.5,-2.8,14% (2/14),8%,Poor
Ronald Jones II,TB,at ATL,8.2,D-,6.3,-0.6,42% (6/14),5%,Good
Brandon Bolden,NE,at BUF,4.8,D-,6.2,0.7,41% (5/12),5%,Awful
D'Andre Swift,DET,vs. MIN,6.4,C-,6,-0.7,46% (7/15),18%,Average
