PLAYER NAME,TEAM,OPP,MATCHUP RATING,START/SIT,PROJ. FPTS,AVG. POINTS ,% GAMES ,OPPORTUNITY ,EFFICIENCY 
Travis Kelce,KC,vs. DEN,6.6,A+,16.5,-0.4,56% (9/16),7%,Great
Mark Andrews,BAL,at PIT,4.4,A,13.9,-1.1,35% (6/17),12%,Good
George Kittle,SF,at SEA,6,A,13.7,-2,40% (4/10),8%,Great
Rob Gronkowski,TB,at ATL,8.6,A-,12.8,2.4,50% (5/10),11%,Average
T.J. Hockenson,DET,vs. MIN,2.2,B+,12.6,-2.1,43% (7/16),8%,Average
Dalton Schultz,DAL,at NO,3.2,B,10.9,1.3,56% (9/16),6%,Great
Kyle Pitts,ATL,vs. TB,7.4,B,10.9,-1.9,27% (3/11),12%,Awful
Pat Freiermuth,PIT,vs. BAL,7.6,B-,10.9,2.4,72% (8/11),14%,Average
Dawson Knox,BUF,vs. NE,6.4,B-,10.5,4,71% (10/14),9%,Great
Dallas Goedert,PHI,at NYJ,7.2,C+,10.2,-1.7,46% (7/15),6%,Poor
Mike Gesicki,MIA,vs. NYG,4.8,C+,10.1,0.8,43% (7/16),7%,Awful
Zach Ertz,ARI,at CHI,4.4,C,9.9,0.9,37% (6/16),11%,Great
Logan Thomas,WAS,at LV,7.8,C-,9.8,1.5,50% (5/10),11%,Good
Noah Fant,DEN,at KC,8.4,C-,9.6,-0.5,53% (8/15),9%,Average
Hunter Henry,NE,at BUF,6.6,D+,9.1,0.4,53% (8/15),12%,Good
Tyler Higbee,LAR,vs. JAC,7.6,D+,9,-0.3,43% (7/16),11%,Poor
Tyler Conklin,MIN,at DET,5.2,D,8.9,2,62% (10/16),9%,Average
Cole Kmet,CHI,vs. ARI,4,D,8.6,-0.3,50% (8/16),7%,Awful
Foster Moreau,LV,vs. WAS,7,D,8.3,0.9,41% (7/17),10%,Great
C.J. Uzomah,CIN,vs. LAC,9.4,D,7.8,1.7,36% (4/11),4%,Great
Gerald Everett,SEA,vs. SF,6.6,D-,7.7,0.4,42% (6/14),5%,Great
Jared Cook,LAC,at CIN,5.4,D-,7.6,0.3,56% (9/16),8%,Good
Evan Engram,NYG,at MIA,7,F,7.4,-1,35% (5/14),6%,Average
