PLAYER NAME,TEAM,OPP,MATCHUP RATING,START/SIT,PROJ. FPTS,AVG. POINTS ,% GAMES 
Tampa Bay Buccaneers,TB,at ATL,5.3,A+,9.1,1.3,53% (8/15)
Indianapolis Colts,IND,at HOU,4.7,A,8.7,1.6,64% (11/17)
Philadelphia Eagles,PHI,at NYJ,5.8,A-,8.2,0.6,52% (9/17)
Miami Dolphins,MIA,vs. NYG,5.8,B+,7.9,1.3,41% (7/17)
Arizona Cardinals,ARI,at CHI,7.6,B+,7.9,2.2,62% (10/16)
Dallas Cowboys,DAL,at NO,4.3,B,7.8,3,68% (11/16)
Los Angeles Rams,LAR,vs. JAC,5.5,B,7.5,0.7,37% (6/16)
Minnesota Vikings,MIN,at DET,5.6,B,7.2,-0.2,43% (7/16)
New England Patriots,NE,at BUF,8,B,7.1,3.9,58% (10/17)
Buffalo Bills,BUF,vs. NE,9.9,B-,7.1,3.6,62% (10/16)
Kansas City Chiefs,KC,vs. DEN,9.9,B-,6.6,-0.3,50% (8/16)
New York Giants,NYG,at MIA,5.8,C+,6.5,0.3,43% (7/16)
Baltimore Ravens,BAL,at PIT,7,C+,6.4,-1.1,35% (6/17)
Denver Broncos,DEN,at KC,7,C-,6.4,1.1,50% (8/16)
New Orleans Saints,NO,vs. DAL,5.1,C,6.4,0.7,37% (6/16)
Pittsburgh Steelers,PIT,vs. BAL,9.9,C,6.2,-2.2,31% (5/16)
San Francisco 49ers,SF,at SEA,5.6,C,6.1,-0.8,37% (6/16)
Chicago Bears,CHI,vs. ARI,8,C-,5.9,0,37% (6/16)
Cincinnati Bengals,CIN,vs. LAC,3.3,D+,5.9,-0.2,37% (6/16)
Los Angeles Chargers,LAC,at CIN,9.9,D,5.8,-1.9,25% (4/16)
Las Vegas Raiders,LV,vs. WAS,3.7,D,5.8,-2.6,23% (4/17)
Washington Football Team,WAS,at LV,4.5,D,5.8,-0.3,37% (6/16)
Seattle Seahawks,SEA,vs. SF,5.1,D-,5.6,-0.5,31% (5/16)
Houston Texans,HOU,vs. IND,3.3,F,5.6,-2.2,31% (5/16)
Jacksonville Jaguars,JAC,at LAR,6.4,F,5.2,-1.5,25% (4/16)
Atlanta Falcons,ATL,vs. TB,3.3,F,5.2,-2.7,25% (4/16)
New York Jets,NYJ,vs. PHI,6.2,F,4.4,-2.2,25% (4/16)
Detroit Lions,DET,vs. MIN,2.2,F,4.4,-2.7,25% (4/16)
