Lamar Jackson (BAL - QB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,1,1,0,25.6,7800,305,5-10%
,,,,,,,,,,,,,
Tom Brady (TB - QB) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,2,4,2,24.8,7200,290,5-10%
,,,,,,,,,,,,,
Kyler Murray (ARI - QB) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,3,2,-1,24.5,7500,307,10-20%
,,,,,,,,,,,,,
Justin Herbert (LAC - QB) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,4,6,2,22.3,6700,300,10-20%
,,,,,,,,,,,,,
Jalen Hurts (PHI - QB) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,5,5,0,22.1,7000,316,10-20%
,,,,,,,,,,,,,
Matthew Stafford (LAR - QB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,6,3,-3,21.1,7300,346,1-5%
,,,,,,,,,,,,,
Kirk Cousins (MIN - QB) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,7,7,0,20.8,6500,313,1-5%
,,,,,,,,,,,,,
Joe Burrow (CIN - QB) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,8,9,1,19.8,6300,317,5-10%
,,,,,,,,,,,,,
Russell Wilson (SEA - QB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,9,8,-1,19.1,6400,335,1-5%
,,,,,,,,,,,,,
Derek Carr (LV - QB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,10,11,1,19.1,6000,314,5-10%
,,,,,,,,,,,,,
Carson Wentz (IND - QB) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,11,10,-1,17.9,6100,341,1-5%
,,,,,,,,,,,,,
Tua Tagovailoa (MIA - QB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,12,16,4,17.5,5500,314,1-5%
,,,,,,,,,,,,,
Taylor Heinicke (WAS - QB) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,13,14,1,17,5600,329,1-5%
,,,,,,,,,,,,,
Jimmy Garoppolo (SF - QB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,14,12,-2,16.7,5700,342,1-5%
,,,,,,,,,,,,,
Tyrod Taylor (HOU - QB) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,15,19,4,16.1,5300,328,1-5%
,,,,,,,,,,,,,
Matt Ryan (ATL - QB) ,TB,Sun 1:00PM,TB -11,,50.5,20,16,13,-3,16,5600,350,1-5%
,,,,,,,,,,,,,
Andy Dalton (CHI - QB) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,17,18,1,15.2,5300,349,0
,,,,,,,,,,,,,
Ben Roethlisberger (PIT - QB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,18,24,6,15,5000,332,1-5%
,,,,,,,,,,,,,
Trevor Lawrence (JAC - QB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,19,23,4,14.9,5100,342,1-5%
,,,,,,,,,,,,,
Jared Goff (DET - QB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,20,20,0,14.7,5200,353,1-5%
,,,,,,,,,,,,,
Zach Wilson (NYJ - QB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,21,21,0,14.5,5200,358,1-5%
,,,,,,,,,,,,,
Daniel Jones (NYG - QB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,22,15,-7,11.1,5500,496,1-5%
,,,,,,,,,,,,,
Trey Lance (SF - QB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,23,32,9,8.5,4900,575,0
,,,,,,,,,,,,,
Mike Glennon (NYG - QB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,24,44,20,6.5,4000,615,0
,,,,,,,,,,,,,
Justin Fields (CHI - QB) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,25,27,2,1.6,5000,3169,1-5%
,,,,,,,,,,,,,
Joe Flacco (NYJ - QB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,26,22,-4,1.3,5100,3890,0
,,,,,,,,,,,,,
Tim Boyle (DET - QB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,27,31,4,1.2,4900,4246,0
,,,,,,,,,,,,,
Marcus Mariota (LV - QB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,28,29,1,1.1,4900,4553,0
,,,,,,,,,,,,,
Gardner Minshew II (PHI - QB) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,29,62,33,1.1,4000,3488,0
,,,,,,,,,,,,,
Sam Ehlinger (IND - QB) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,30,71,41,1.1,4000,3789,0
,,,,,,,,,,,,,
Colt McCoy (ARI - QB) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,31,17,-14,1,5400,5440,0
,,,,,,,,,,,,,
Davis Mills (HOU - QB) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,73,33,-40,0,4900,0,0
,,,,,,,,,,,,,
Ryan Fitzpatrick (WAS - QB) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,34,43,9,0,4000,0,0
 I,,,,,,,,,,,,,
Josh Johnson (NYJ - QB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,33,42,9,0,4200,0,0
,,,,,,,,,,,,,
Chase Daniel (LAC - QB) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,32,41,9,0,4200,0,0
,,,,,,,,,,,,,
Nick Foles (CHI - QB) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,36,34,-2,0,4800,0,0
,,,,,,,,,,,,,
Blaine Gabbert (TB - QB) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,35,28,-7,0,4900,0,0
,,,,,,,,,,,,,
Ryan Griffin (TB - QB) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,38,45,7,0,4000,0,0
,,,,,,,,,,,,,
AJ McCarron (ATL - QB) ,TB,Sun 1:00PM,TB -11,,50.5,20,39,46,7,0,4000,0,0
 I,,,,,,,,,,,,,
Geno Smith (SEA - QB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,37,25,-12,0,5000,0,0
,,,,,,,,,,,,,
Sean Mannion (MIN - QB) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,41,39,-2,0,4400,0,0
,,,,,,,,,,,,,
Brett Hundley (IND - QB) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,40,47,7,0,4000,0,0
,,,,,,,,,,,,,
Jeff Driskel (HOU - QB) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,42,48,6,0,4000,0,0
,,,,,,,,,,,,,
Brandon Allen (CIN - QB) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,44,49,5,0,4000,0,0
,,,,,,,,,,,,,
Jacoby Brissett (MIA - QB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,43,30,-13,0,4900,0,0
,,,,,,,,,,,,,
Nathan Peterman (LV - QB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,47,52,5,0,4000,0,0
,,,,,,,,,,,,,
C.J. Beathard (JAC - QB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,49,54,5,0,4000,0,0
,,,,,,,,,,,,,
Nate Sudfeld (SF - QB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,45,50,5,0,4000,0,0
,,,,,,,,,,,,,
Josh Dobbs (PIT - QB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,48,53,5,0,4000,0,0
 I,,,,,,,,,,,,,
Mike White (NYJ - QB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,52,36,-16,0,4800,0,0
,,,,,,,,,,,,,
Kyle Lauletta (JAC - QB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,53,56,3,0,4000,0,0
,,,,,,,,,,,,,
David Blough (DET - QB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,60,37,-23,0,4700,0,0
,,,,,,,,,,,,,
Jake Luton (MIA - QB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,67,38,-29,0,4700,0,0
,,,,,,,,,,,,,
Kyle Allen (WAS - QB) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,54,40,-14,0,4300,0,0
,,,,,,,,,,,,,
Mason Rudolph (PIT - QB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,50,35,-15,0,4800,0,0
,,,,,,,,,,,,,
Deshaun Watson (HOU - QB) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,46,51,5,0,4000,0,0
,,,,,,,,,,,,,
Easton Stick (LAC - QB) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,57,59,2,0,4000,0,0
,,,,,,,,,,,,,
Trace McSorley (ARI - QB) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,58,60,2,0,4000,0,0
,,,,,,,,,,,,,
John Wolford (LAR - QB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,55,57,2,0,4000,0,0
,,,,,,,,,,,,,
Bryce Perkins (LAR - QB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,65,66,1,0,4000,0,0
,,,,,,,,,,,,,
Jake Browning (CIN - QB) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,59,61,2,0,4000,0,0
,,,,,,,,,,,,,
James Morgan (NYJ - QB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,68,68,0,0,4000,0,0
,,,,,,,,,,,,,
Josh Rosen (ATL - QB) ,TB,Sun 1:00PM,TB -11,,50.5,20,51,55,4,0,4000,0,0
,,,,,,,,,,,,,
Kenji Bahar (BAL - QB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,74,74,0,0,4000,0,0
,,,,,,,,,,,,,
Kyle Shurmur (WAS - QB) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,61,63,2,0,4000,0,0
,,,,,,,,,,,,,
Steven Montez (DET - QB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,66,67,1,0,4000,0,0
,,,,,,,,,,,,,
Brian Lewerke (NYG - QB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,69,69,0,0,4000,0,0
,,,,,,,,,,,,,
Reid Sinnett (PHI - QB) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,71,72,1,0,4000,0,0
,,,,,,,,,,,,,
Feleipe Franks (ATL - QB) ,TB,Sun 1:00PM,TB -11,,50.5,20,72,73,1,0,4000,0,0
,,,,,,,,,,,,,
Kyle Trask (TB - QB) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,70,70,0,0,4000,0,0
,,,,,,,,,,,,,
Tyler Huntley (BAL - QB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,63,26,-37,0,5000,0,0
,,,,,,,,,,,,,
Jacob Eason (SEA - QB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,62,64,2,0,4000,0,0
,,,,,,,,,,,,,
Dwayne Haskins (PIT - QB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,56,58,2,0,4000,0,0
,,,,,,,,,,,,,
Kellen Mond (MIN - QB) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,64,65,1,0,4000,0,0
