PLAYER NAME,TEAM,OPP,MATCHUP RATING,START/SIT,PROJ. FPTS,AVG. POINTS ,% GAMES ,OPPORTUNITY ,EFFICIENCY 
Lamar Jackson,BAL,at PIT,7.4,A+,23.1,-0.4,43% (7/16),14%,Poor
Tom Brady,TB,at ATL,9.4,A,22.8,2.1,60% (9/15),2%,Average
Kyler Murray,ARI,at CHI,8.4,A-,22.4,-1.8,30% (4/13),7%,Good
Josh Allen,BUF,vs. NE,2.8,A-,21.9,2.1,56% (9/16),8%,Good
Patrick Mahomes II,KC,vs. DEN,6,A,21.5,-2.5,33% (5/15),2%,Good
Justin Herbert,LAC,at CIN,5.6,B+,21,1.5,43% (7/16),6%,Great
Jalen Hurts,PHI,at NYJ,7.6,B+,20.6,1.5,58% (10/17),15%,Average
Dak Prescott,DAL,at NO,5,B,20.2,-0.4,60% (6/10),6%,Average
Matthew Stafford,LAR,vs. JAC,7.6,B,19.8,0.5,56% (9/16),2%,Average
Kirk Cousins,MIN,at DET,8,B,19.4,3.2,68% (11/16),3%,Great
Joe Burrow,CIN,vs. LAC,6.8,B-,19,0,63% (7/11),3%,Great
Derek Carr,LV,vs. WAS,8.8,B-,18.6,-0.3,64% (11/17),3%,Awful
Russell Wilson,SEA,vs. SF,5.6,C+,18.2,-3.4,38% (5/13),1%,Great
Taysom Hill,NO,vs. DAL,5,C,17.7,2.3,57% (8/14),6%,Great
Carson Wentz,IND,at HOU,7.4,C,17.4,-0.3,50% (8/16),4%,Average
Tua Tagovailoa,MIA,vs. NYG,4.4,C,16.9,1.4,69% (9/13),7%,Good
Taylor Heinicke,WAS,at LV,5.6,C-,16.5,2.6,58% (7/12),5%,Poor
Jimmy Garoppolo,SF,at SEA,5,D+,16.2,-0.3,30% (3/10),4%,Good
Tyrod Taylor,HOU,vs. IND,6.8,D+,16,-1.8,30% (3/10),7%,Average
Mac Jones,NE,at BUF,3.2,D,15.7,-1.5,33% (4/12),1%,Awful
Teddy Bridgewater,DEN,at KC,5.8,D-,15.4,-1.7,46% (7/15),4%,Poor
Matt Ryan,ATL,vs. TB,5.6,D-,15.2,-0.9,43% (7/16),3%,Good
Andy Dalton,CHI,vs. ARI,4.8,F,15,0.8,35% (5/14),4%,Good
Ben Roethlisberger,PIT,vs. BAL,8.6,F,14.7,-1.4,35% (5/14),1%,Awful
Trevor Lawrence,JAC,at LAR,5.4,F,14.4,-2.6,36% (4/11),6%,Awful
Jared Goff,DET,vs. MIN,6.4,F,14,-2.1,28% (4/14),1%,Awful
Zach Wilson,NYJ,vs. PHI,4.4,F,13.6,-4.3,28% (2/7),3%,Awful
Daniel Jones,NYG,at MIA,5.2,F,12.9,-2.1,42% (6/14),5%,Awful
Trevor Siemian,NO,vs. DAL,4.6,F,1.6,4.3,80% (4/5),1%,Average
Trey Lance,SF,at SEA,4.4,F,1,0.3,30% (3/10),6%,Good
Mike Glennon,NYG,at MIA,-,F,1,-1.4,12% (2/16),0%,Awful
Justin Fields,CHI,vs. ARI,-,F,1,-2.8,40% (4/10),3%,Awful
Joe Flacco,NYJ,vs. PHI,3.8,F,0.9,-0.3,7% (1/13),0%,Great
Tim Boyle,DET,vs. MIN,6.4,F,0.9,-2.5,0% (0/6),0%,Awful
Gardner Minshew II,PHI,at NYJ,-,F,0.9,0.8,22% (2/9),0%,Awful
Marcus Mariota,LV,vs. WAS,-,F,0.9,1.5,25% (3/12),3%,Great
