Mark Andrews (BAL - TE) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,1,2,1,15.7,6000,383,1-5%
,,,,,,,,,,,,,
George Kittle (SF - TE) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,2,3,1,14.1,5900,419,1-5%
,,,,,,,,,,,,,
Rob Gronkowski (TB - TE) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,3,6,3,13.4,5300,396,1-5%
,,,,,,,,,,,,,
T.J. Hockenson (DET - TE) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,4,7,3,12,5200,433,1-5%
,,,,,,,,,,,,,
Kyle Pitts (ATL - TE) ,TB,Sun 1:00PM,TB -11,,50.5,20,5,4,-1,11.2,5600,501,1-5%
,,,,,,,,,,,,,
Pat Freiermuth (PIT - TE) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,6,10,4,11.1,4200,378,1-5%
,,,,,,,,,,,,,
Dallas Goedert (PHI - TE) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,7,9,2,10.8,4500,417,1-5%
,,,,,,,,,,,,,
Mike Gesicki (MIA - TE) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,8,8,0,10.1,5100,504,1-5%
,,,,,,,,,,,,,
Zach Ertz (ARI - TE) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,9,5,-4,10,5400,539,1-5%
,,,,,,,,,,,,,
Logan Thomas (WAS - TE) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,10,11,1,9.8,4000,406,1-5%
,,,,,,,,,,,,,
Tyler Higbee (LAR - TE) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,11,13,2,9,3800,424,1-5%
,,,,,,,,,,,,,
Tyler Conklin (MIN - TE) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,12,15,3,8.7,3700,423,1-5%
,,,,,,,,,,,,,
Cole Kmet (CHI - TE) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,13,16,3,8.6,3600,417,1-5%
,,,,,,,,,,,,,
C.J. Uzomah (CIN - TE) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,14,20,6,8.4,3200,382,1-5%
,,,,,,,,,,,,,
Foster Moreau (LV - TE) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,15,31,16,8.4,2700,320,10-20%
,,,,,,,,,,,,,
Gerald Everett (SEA - TE) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,16,14,-2,8.3,3800,455,1-5%
,,,,,,,,,,,,,
Jared Cook (LAC - TE) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,17,21,4,8.2,3100,377,5-10%
,,,,,,,,,,,,,
Evan Engram (NYG - TE) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,18,17,-1,7.3,3500,477,1-5%
,,,,,,,,,,,,,
Jack Doyle (IND - TE) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,19,19,0,7.2,3300,458,1-5%
,,,,,,,,,,,,,
Ryan Griffin (NYJ - TE) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,20,32,12,6.9,2600,376,1-5%
,,,,,,,,,,,,,
Darren Waller (LV - TE) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,21,1,-20,5.9,6200,1051,1-5%
,,,,,,,,,,,,,
James O'Shaughnessy (JAC - TE) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,22,33,11,5.5,2600,472,1-5%
,,,,,,,,,,,,,
Brevin Jordan (HOU - TE) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,24,112,88,4.8,2500,520,1-5%
,,,,,,,,,,,,,
Donald Parham Jr. (LAC - TE) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,23,27,4,4.8,2800,577,1-5%
,,,,,,,,,,,,,
Mo Alie-Cox (IND - TE) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,25,35,10,4.7,2600,557,1-5%
,,,,,,,,,,,,,
Cameron Brate (TB - TE) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,26,22,-4,4.5,3000,674,0
,,,,,,,,,,,,,
John Bates (WAS - TE) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,27,36,9,4.4,2600,593,0
,,,,,,,,,,,,,
Pharaoh Brown (HOU - TE) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,28,26,-2,4,2800,707,0
,,,,,,,,,,,,,
Durham Smythe (MIA - TE) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,29,71,42,4,2500,624,1-5%
,,,,,,,,,,,,,
Will Dissly (SEA - TE) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,30,80,50,4,2500,628,1-5%
,,,,,,,,,,,,,
Jimmy Graham (CHI - TE) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,31,24,-7,3.6,2900,812,0
,,,,,,,,,,,,,
O.J. Howard (TB - TE) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,32,34,2,3.6,2600,731,0
,,,,,,,,,,,,,
Kylen Granson (IND - TE) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,33,119,86,3.6,2500,704,0
,,,,,,,,,,,,,
Stephen Anderson (LAC - TE) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,34,56,22,3.5,2500,719,0
,,,,,,,,,,,,,
Zach Gentry (PIT - TE) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,35,25,-10,3.5,2900,829,0
,,,,,,,,,,,,,
Kyle Rudolph (NYG - TE) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,36,28,-8,3.2,2700,847,0
,,,,,,,,,,,,,
Chris Manhertz (JAC - TE) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,37,50,13,2.9,2500,855,0
,,,,,,,,,,,,,
Chris Herndon IV (MIN - TE) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,38,72,34,2.7,2500,919,0
,,,,,,,,,,,,,
Charlie Woerner (SF - TE) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,39,105,66,2.7,2500,940,0
,,,,,,,,,,,,,
Chris Myarick (NYG - TE) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,40,96,56,2.6,2500,961,0
,,,,,,,,,,,,,
Ross Dwelley (SF - TE) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,41,78,37,2.5,2500,998,0
,,,,,,,,,,,,,
Jesse James (CHI - TE) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,42,47,5,2.4,2500,1027,0
,,,,,,,,,,,,,
Adam Shaheen (MIA - TE) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,43,60,17,2.3,2500,1091,0
,,,,,,,,,,,,,
Drew Sample (CIN - TE) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,44,88,44,2.3,2500,1077,0
,,,,,,,,,,,,,
Jack Stoll (PHI - TE) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,45,23,-22,2.3,3000,1283,0
,,,,,,,,,,,,,
Lee Smith (ATL - TE) ,TB,Sun 1:00PM,TB -11,,50.5,20,46,39,-7,2.2,2500,1143,0
,,,,,,,,,,,,,
Nick Boyle (BAL - TE) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,47,49,2,2.2,2500,1130,0
,,,,,,,,,,,,,
Trevon Wesco (NYJ - TE) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,48,89,41,2.2,2500,1151,0
,,,,,,,,,,,,,
Brock Wright (DET - TE) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,49,123,74,2.1,2500,1203,0
,,,,,,,,,,,,,
Antony Auclair (HOU - TE) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,50,61,11,2,2500,1263,0
,,,,,,,,,,,,,
Tre' McKitty (LAC - TE) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,51,115,64,2,2500,1271,0
,,,,,,,,,,,,,
Hunter Long (MIA - TE) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,57,114,57,1.9,2500,1339,0
,,,,,,,,,,,,,
Luke Stocker (MIN - TE) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,52,38,-14,1.9,2500,1286,0
,,,,,,,,,,,,,
Darrell Daniels (ARI - TE) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,53,65,12,1.9,2500,1300,0
,,,,,,,,,,,,,
Parker Hesse (ATL - TE) ,TB,Sun 1:00PM,TB -11,,50.5,20,55,95,40,1.9,2500,1330,0
,,,,,,,,,,,,,
Tyree Jackson (PHI - TE) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,54,90,36,1.9,2500,1319,0
,,,,,,,,,,,,,
