PLAYER NAME,TEAM,OPP,MATCHUP RATING,START/SIT,PROJ. FPTS,AVG. POINTS ,% GAMES ,OPPORTUNITY ,EFFICIENCY 
Cooper Kupp,LAR,vs. JAC,6.8,A+,22.6,1.7,40% (6/15),21%,Average
Justin Jefferson,MIN,at DET,5,A+,19.8,0.5,56% (9/16),19%,Average
Tyreek Hill,KC,vs. DEN,3.8,A+,18.6,-0.8,40% (6/15),14%,Good
Stefon Diggs,BUF,vs. NE,2.6,A+,18,1.2,43% (7/16),16%,Average
Keenan Allen,LAC,at CIN,8,A+,16.5,-2.4,28% (4/14),13%,Awful
Ja'Marr Chase,CIN,vs. LAC,5.4,A+,16.3,1.6,45% (5/11),16%,Great
Diontae Johnson,PIT,vs. BAL,4.8,A,16.3,0.7,60% (9/15),17%,Poor
Chris Godwin,TB,at ATL,7.2,A,16.2,0,60% (9/15),11%,Average
CeeDee Lamb,DAL,at NO,9.2,A,16,0.6,40% (6/15),10%,Good
Terry McLaurin,WAS,at LV,7.8,A,15.3,-2,33% (5/15),14%,Average
Mike Evans,TB,at ATL,7.4,A,15.2,0.9,46% (7/15),11%,Good
DeAndre Hopkins,ARI,at CHI,8.2,A,15.1,-1.1,46% (6/13),13%,Great
Adam Thielen,MIN,at DET,5.4,A,14.7,-0.1,43% (7/16),19%,Great
Michael Pittman Jr.,IND,at HOU,6.6,A,14.5,-0.9,29% (5/17),12%,Average
Tyler Lockett,SEA,vs. SF,7.2,A,14.5,-1.8,31% (5/16),10%,Average
Marquise Brown,BAL,at PIT,5,A,14.5,1.1,62% (10/16),17%,Average
Jaylen Waddle,MIA,vs. NYG,6.8,A-,14.4,0.9,41% (5/12),8%,Good
D.K. Metcalf,SEA,vs. SF,7.6,A-,14.1,-3,25% (4/16),13%,Great
Tee Higgins,CIN,vs. LAC,4.2,A-,13.7,-1.1,35% (5/14),19%,Poor
Darnell Mooney,CHI,vs. ARI,6.6,A-,13.5,2.2,62% (10/16),11%,Average
Brandon Aiyuk,SF,at SEA,3.6,B+,13.2,0.2,53% (8/15),6%,Good
Brandin Cooks,HOU,vs. IND,4.6,B+,13.1,-0.2,40% (6/15),24%,Poor
DeVonta Smith,PHI,at NYJ,9.4,B+,13,-1.3,33% (4/12),8%,Average
Hunter Renfrow,LV,vs. WAS,6.2,B,13,-0.6,41% (7/17),11%,Average
Elijah Moore,NYJ,vs. PHI,6.2,B,12.9,3.1,60% (6/10),8%,Great
Cordarrelle Patterson,ATL,vs. TB,3.4,A-,12.9,-,-,16%,Great
Mike Williams,LAC,at CIN,7.6,B-,12.9,0.2,37% (6/16),18%,Good
Chase Claypool,PIT,vs. BAL,6,B-,12.9,-1,28% (4/14),17%,Awful
Van Jefferson,LAR,vs. JAC,7.2,C+,12.7,0.6,43% (7/16),11%,Average
